SECTION,Toutes les cotes comparables,,,,,,,,
match,issue_fr,marche_fr,marche_fanduel,cote_fr,bookmaker_fr,cote_us_fanduel_ml,cote_fr_fanduel,ecart_fr_moins_fd,meilleur_cote
A.Fery vs A.Zverev,Plus,"Plus / Moins (Aces) - A.Zverev 14,5 - Match",Total Alexander Zverev Aces 14.5,"1,84",Winamax,-122,"1,82","+0,02",FR
A.Fery vs A.Zverev,Moins,"Plus / Moins (Aces) - A.Zverev 14,5 - Match",Total Alexander Zverev Aces 14.5,"1,62",Winamax,-110,"1,91","-0,29",FanDuel
A.Fery vs A.Zverev,Plus,Nombre d'aces de A. Fery (5.5),Total Arthur Fery Aces 5.5,"1,74",Winamax,+100,"2,00","-0,26",FanDuel
A.Fery vs A.Zverev,Moins,Nombre d'aces de A. Fery (5.5),Total Arthur Fery Aces 5.5,"1,72",Winamax,-132,"1,76","-0,04",FanDuel
,,,,,,,,,
SECTION,Cotes FR superieures a FanDuel,,,,,,,,
match,issue_fr,marche_fr,marche_fanduel,cote_fr,bookmaker_fr,cote_us_fanduel_ml,cote_fr_fanduel,ecart_fr_moins_fd,meilleur_cote
A.Fery vs A.Zverev,Plus,"Plus / Moins (Aces) - A.Zverev 14,5 - Match",Total Alexander Zverev Aces 14.5,"1,84",Winamax,-122,"1,82","+0,02",FR
